Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1139 (tie),Oklahoma Wesleyan University,"Private School, Religious",42500,73800,0.62,0.03
1139 (tie),Purdue University-North Central Campus,State School,45100,73800,0.56,0.12
1139 (tie),University of North Alabama,State School,41500,73800,0.62,0.07
1144 (tie),Chadron State College,State School,42300,73700,0.74,0.04
1144 (tie),Houghton College,"Liberal Arts School, Private School, Religious",41500,73700,0.52,0.14
1144 (tie),Huntingdon College,"Private School, Religious",42300,73700,0.64,0.12
1144 (tie),Louisiana College,"Private School, Religious",45900,73700,0.52,0.04
1144 (tie),The University of Tennessee-Martin,"For Sports Fans, State School",43300,73700,0.55,0.09
1144 (tie),Webber International University,"Business, Private School",42000,73700,0.51,0.05
1150 (tie),College of Saint Mary,"Private School, Religious",45800,73600,0.39,0.03
1150 (tie),Governors State University,State School,44000,73600,0.46,0.17
1150 (tie),University of South Florida-Sarasota-Manatee,State School,43000,73600,0.59,0.06
1153 (tie),Clarke University,"Private School, Religious",43500,73500,0.51,0.1
1153 (tie),Florida Institute of Technology-Online,"Business, Private School",44400,73500,N/A,0.11
1153 (tie),Francis Marion University,State School,41300,73500,0.6,0.16
1153 (tie),Johnson & Wales University-Providence,Private School,44700,73500,0.43,0.04
1157 (tie),Brenau University,Private School,43900,73400,0.63,0.02
1157 (tie),"Columbia College - Columbia, MO","Private School, Religious",43300,73400,0.54,0.02
1157 (tie),Guilford College,"Liberal Arts School, Private School, Religious",41800,73400,0.55,0.15
1157 (tie),Kansas City Art Institute,"Art, Private School",41900,73400,0.35,0
1157 (tie),University of North Carolina at Greensboro,"Research University, For Sports Fans, State School",42800,73400,0.55,0.1
1162 (tie),Kansas Wesleyan University,"Private School, Religious",43000,73300,0.65,0.1
1162 (tie),Mercyhurst University,"Private School, Religious",42600,73300,0.52,0.1
1162 (tie),Notre Dame College,"Private School, Religious",42300,73300,0.7,0.08
1165 (tie),East Tennessee State University,"Research University, For Sports Fans, State School",42900,73200,0.59,0.08
1165 (tie),Mount Mercy University,"Private School, Religious",46400,73200,0.57,0.04
1167 (tie),"Anderson University - Anderson, IN","Private School, Religious",43500,73100,0.56,0.05
1167 (tie),Johnson & Wales University-North Miami,Private School,40300,73100,0.46,0
1167 (tie),Mid-America Christian University,"Private School, Religious",41400,73100,0.7,0.01
1167 (tie),Pfeiffer University,"Private School, Religious",44400,73100,0.56,0.04
1167 (tie),Western Carolina University,"For Sports Fans, State School",43000,73100,0.61,0.06
1172 (tie),Tennessee State University,"Research University, For Sports Fans, State School",47100,73000,0.68,0.1
1172 (tie),University of the Incarnate Word,"Private School, Religious, For Sports Fans",45300,73000,0.6,0.08
1174 (tie),"Aquinas College - Grand Rapids, MI","Private School, Religious",41100,72900,0.51,0.13
1174 (tie),Florida Gulf Coast University,"For Sports Fans, State School",44400,72900,0.54,0.11
1174 (tie),Seton Hill University,"Private School, Religious",42000,72900,0.66,0.11
1174 (tie),Stephens College,Private School,41000,72900,0.49,0.04
1174 (tie),Texas A&M University-Texarkana,State School,40800,72900,0.66,0.08
1174 (tie),Wesley College,"Private School, Religious",44600,72900,0.52,0.05
1180 (tie),Athens State University,State School,42500,72800,0.54,0.09
1180 (tie),Emporia State University,State School,42800,72800,0.59,0.08
1180 (tie),Lesley University,"Private School, Research University",42600,72800,0.52,0.02
1180 (tie),Milligan College,"Private School, Religious",41600,72800,0.65,0.1
1184 (tie),Covenant College,"Liberal Arts School, Private School, Religious",43000,72700,0.65,0.1
1184 (tie),Missouri Western State University,State School,43400,72700,0.53,0.12
1184 (tie),Northwest Christian University,"Private School, Religious",42500,72700,0.62,0.07
1184 (tie),Ottawa University-Milwaukee,"Business, Private School, Religious",44200,72700,0.65,0
1188 (tie),Charleston Southern University,"Private School, Religious, For Sports Fans",41800,72600,0.64,0.08
1188 (tie),Georgia Southwestern State University,State School,41300,72600,0.59,0.05
1188 (tie),Henderson State University,State School,42500,72600,0.61,0.05
1188 (tie),University of Hawaii-West Oahu,State School,41200,72600,0.61,0
1192 (tie),Milwaukee Institute of Art & Design,"Art, Private School",42300,72500,0.35,0
