Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1236 (tie),Inter American University of Puerto Rico-San German,Private School,42600,71300,N/A,0.19
1236 (tie),St Andrews University,"Private School, Religious",40600,71300,0.38,0.12
1240 (tie),Concord University,State School,39500,71200,0.49,0.12
1240 (tie),Dean College,Private School,41200,71200,N/A,0.01
1240 (tie),Fontbonne University,"Private School, Religious",42200,71200,0.51,0.04
1240 (tie),Friends University,"Business, Private School",45300,71200,0.6,0.1
1240 (tie),Pontifical Catholic University of Puerto Rico-Ponce,"Private School, Religious, Research University",42000,71200,N/A,0.07
1245,University of Guam,State School,43700,71100,0.82,0.09
1246 (tie),Albany State University,State School,38800,71000,0.71,0.09
1246 (tie),Carson-Newman University,"Private School, Religious",42500,71000,0.61,0.05
1246 (tie),New Mexico Highlands University,State School,40500,71000,0.62,0.07
1246 (tie),SUNY College of Technology at Delhi,State School,41500,71000,0.6,0.01
1250 (tie),Greensboro College,"Private School, Religious",42900,70800,0.7,0.08
1250 (tie),Northland College,"Liberal Arts School, Private School, Religious",41300,70800,0.57,0.24
1250 (tie),Ohio Dominican University,"Private School, Religious",44300,70800,0.53,0.05
1250 (tie),Ottawa University-Phoenix,"Private School, Religious",41800,70800,0.57,0.01
1254,Missouri Southern State University,State School,42800,70700,0.61,0.09
1255 (tie),Judson University,"Private School, Religious",43400,70600,0.58,0.02
1255 (tie),Keuka College,"Private School, Religious",44800,70600,0.63,0.02
1255 (tie),Middle Georgia State University,State School,42500,70600,0.61,0.11
1255 (tie),Marygrove College,"Private School, Religious",42600,70600,0.69,0.02
1259 (tie),Carlow University,"Private School, Religious",42900,70500,0.5,0.04
1259 (tie),Fairmont State University,State School,42300,70500,0.53,0.05
1259 (tie),Hope International University,"Private School, Religious",42000,70500,0.54,0
1259 (tie),Western New Mexico University,State School,42400,70500,0.73,0.02
1263 (tie),Bennett College,"Private School, Religious",41900,70400,N/A,0.27
1263 (tie),Grace College and Theological Seminary,"Private School, Religious",42000,70400,0.57,0.03
1263 (tie),La Roche College,"Private School, Religious",42200,70400,0.41,0.11
1263 (tie),Montana State University-Billings,State School,41900,70400,0.58,0.03
1263 (tie),Montana State University-Northern,State School,42600,70400,0.62,0.02
1268 (tie),Edinboro University of Pennsylvania,State School,40500,70300,0.56,0.05
1268 (tie),Huston-Tillotson University,"Private School, Religious",40500,70300,N/A,0.07
1268 (tie),Inter American University of Puerto Rico-Metro,"Private School, Research University",41600,70300,0.81,0.08
1268 (tie),Lakeland University,"Business, Private School, Religious",45600,70300,0.53,0.08
1268 (tie),Northeastern State University,State School,42900,70300,0.57,0.07
1268 (tie),Vincennes University,State School,40000,70300,N/A,0.02
1274 (tie),Gallaudet University,Private School,43100,70200,0.7,0.05
1274 (tie),Norfolk State University,"For Sports Fans, State School",44400,70200,0.71,0.12
1276 (tie),Broward College,State School,43100,70100,0.54,0.04
1276 (tie),SUNY Buffalo State,State School,41600,70100,0.48,0.06
1276 (tie),North Carolina Central University,"For Sports Fans, State School",42100,70100,0.69,0.1
1276 (tie),Silver Lake College of the Holy Family,"Private School, Religious",43500,70100,0.43,0.1
1276 (tie),Winston-Salem State University,State School,45900,70100,0.73,0.06
1281 (tie),Alabama State University,"For Sports Fans, State School",39500,70000,0.63,0.14
1281 (tie),Buena Vista University,"Private School, Religious",40600,70000,0.55,0.05
1281 (tie),East Texas Baptist University,"Private School, Religious",42700,70000,0.66,0.05
1281 (tie),Maryville College,"Liberal Arts School, Private School, Religious",43500,70000,0.68,0.16
1281 (tie),Reinhardt University,"Private School, Religious",42000,70000,0.52,0.04
1281 (tie),SUNY College at Brockport,State School,43800,70000,0.56,0.08
1281 (tie),University of Arkansas at Little Rock,"Research University, For Sports Fans, State School",44100,70000,0.51,0.12
1281 (tie),Virginia Wesleyan College,"Liberal Arts School, Private School, Religious",43300,70000,0.49,0.14
1281 (tie),Wells College,"Liberal Arts School, Private School",44600,70000,0.59,0.25
1290 (tie),Antioch University-Midwest,Private School,42500,69900,0.6,0
1290 (tie),Doane University-Graduate and Professional Studies,Private School,42500,69900,0.55,0
1290 (tie),King University,"Private School, Religious",42400,69900,0.66,0.07
1290 (tie),Palm Beach State College,State School,42300,69900,N/A,0.07
1294 (tie),The College of New Rochelle,Private School,44100,69800,0.67,0.01
1294 (tie),Culver-Stockton College,"Private School, Religious",40200,69800,0.54,0.07
1294 (tie),Indiana University-Kokomo,State School,42100,69800,0.55,0.04
1294 (tie),Springfield College,Private School,44300,69800,0.72,0.04
1294 (tie),University of Montevallo,State School,38100,69800,0.52,0.03
1299 (tie),Florida State College at Jacksonville,State School,42900,69700,0.45,0.05
1299 (tie),Peirce College,"Business, Private School",45400,69700,0.45,0.13
1299 (tie),SUNY College of Agriculture and Technology at Cobleskill,State School,39400,69700,0.62,0.06
1299 (tie),Tiffin University,Private School,43000,69700,0.62,0.02
1303 (tie),Bluffton University,"Private School, Religious",39800,69600,0.46,0.08
1303 (tie),Indiana University-Northwest,State School,42600,69600,0.61,0.08
1303 (tie),Montreat College,"Private School, Religious",42300,69600,0.74,0.06
1303 (tie),Northwestern Oklahoma State University,State School,41000,69600,0.6,0.09
1303 (tie),Peru State College,State School,42500,69600,0.47,0.05
1308 (tie),Jones College-Jacksonville,"Business, Private School",42100,69500,N/A,0.05
1308 (tie),University of West Alabama,State School,40200,69500,0.6,0.03
1310 (tie),Lincoln Memorial University,Private School,41800,69400,0.74,0.1
1310 (tie),University of Northwestern-St Paul,"Private School, Religious",43100,69400,0.67,0.08
1312,University of Mobile,"Private School, Religious",41600,69300,0.7,0.07
1313 (tie),Adams State University,State School,41900,69200,0.59,0.03
1313 (tie),Evangel University,"Private School, Religious",41600,69200,0.64,0.07
1313 (tie),Malone University,"Private School, Religious",43200,69200,0.59,0.06
1313 (tie),Morehead State University,"For Sports Fans, State School",40700,69200,0.56,0.08
1313 (tie),Southeastern University,"Private School, Religious",41600,69200,0.66,0.02
1318 (tie),Berea College,"Liberal Arts School, Private School",40300,69100,0.55,0.15
1318 (tie),Indiana University-South Bend,State School,43800,69100,0.51,0.09
1318 (tie),Prescott College,Private School,41800,69100,0.74,0.03
1318 (tie),Tennessee Wesleyan University,"Private School, Religious",41500,69100,0.55,0.04
1322,Liberty University,"Private School, Religious, Research University, For Sports Fans",42000,69000,0.64,0.01
1323 (tie),Coastal Carolina University,"For Sports Fans, State School",42700,68900,0.46,0.13
1323 (tie),College of the Ozarks,"Private School, Religious, Sober School",39400,68900,0.56,0.1
1323 (tie),Dakota Wesleyan University,"Private School, Religious",38800,68900,N/A,0.07
1323 (tie),Indiana University-Southeast,State School,40100,68900,0.52,0.11
1323 (tie),Lewis-Clark State College,State School,43800,68900,0.58,0.07
1323 (tie),Spring Arbor University,"Private School, Religious",40500,68900,0.69,0.02
1329 (tie),Bethel College-North Newton,"Liberal Arts School, Private School, Religious",44700,68800,0.56,0.09
1329 (tie),Chicago State University,"For Sports Fans, State School",43700,68800,0.64,0.15
1329 (tie),Meredith College,"Liberal Arts School, Private School",41100,68800,0.5,0.1
1329 (tie),Minot State University,State School,44300,68800,0.56,0.05
1333 (tie),Averett University,"Private School, Religious",41400,68700,0.56,0.06
1333 (tie),Madonna University,"Private School, Religious",44900,68700,0.65,0.03
1333 (tie),Mary Baldwin University,"Private School, Religious",38900,68700,0.57,0.09
1333 (tie),Newberry College,"Private School, Religious",41100,68700,0.55,0.11
1337 (tie),Alverno College,"Private School, Religious",44700,68600,0.61,0.05
1337 (tie),Johnson & Wales University-Denver,Private School,40300,68600,0.35,0
1337 (tie),Spalding University,"Private School, Religious, Research University",44300,68600,0.7,0
1337 (tie),University of Maine at Fort Kent,State School,43000,68600,0.73,0.06
1341 (tie),Central Methodist University-College of Liberal Arts and Sciences,"Private School, Religious",41600,68500,0.56,0.13
1341 (tie),University of Sioux Falls,"Private School, Religious",42200,68500,0.59,0.05
1343 (tie),Asbury University,Private School,39900,68400,0.58,0.04
1343 (tie),CUNY Medgar Evers College,State School,42300,68400,0.67,0.29
1345 (tie),Bethune-Cookman University,"Liberal Arts School, Private School, Religious, For Sports Fans",41600,68300,0.62,0.07
1345 (tie),Missouri Baptist University,"Private School, Religious",41300,68300,0.65,0.02
1347 (tie),Cornerstone University,"Private School, Religious",40700,68200,0.57,0.01
1347 (tie),Grambling State University,"For Sports Fans, State School",44300,68200,0.67,0.09
1347 (tie),Southern Wesleyan University,"Private School, Religious",42300,68200,0.57,0.03
1350 (tie),Rogers State University,State School,40100,68000,0.54,0.08
1350 (tie),Southwest Baptist University,"Private School, Religious",40400,68000,0.52,0.06
1350 (tie),Union Institute & University,"Private School, Research University",42300,68000,0.69,0
1353 (tie),Cincinnati College of Mortuary Science,Private School,39700,67900,N/A,0
1353 (tie),Green Mountain College,"Private School, Religious",39100,67900,0.61,0.02
1353 (tie),Valley City State University,State School,40500,67900,0.61,0.06
1356,Central Baptist College,"Private School, Religious",39200,67800,N/A,0.03
1357 (tie),Culinary Institute of America,Private School,40600,67700,0.49,0
1357 (tie),University of Maine at Augusta,State School,41900,67700,0.71,0.07
1357 (tie),University of South Carolina-Aiken,State School,40400,67700,0.62,0.11
1357 (tie),University of the Cumberlands,"Private School, Religious, Research University",39500,67700,0.66,0.03
1361 (tie),Bluefield State College,State School,44600,67600,0.68,0.02
1361 (tie),Concordia University-Ann Arbor,"Private School, Religious",40500,67600,N/A,0.11
1361 (tie),Mount Aloysius College,"Private School, Religious",40800,67600,0.58,0.09
1364 (tie),Chestnut Hill College,"Private School, Religious",40800,67500,0.61,0.05
1364 (tie),Davenport University,"Business, Private School",44200,67500,0.5,0.09
1364 (tie),Goddard College,Private School,42500,67500,N/A,0
1364 (tie),Jackson State University,"Research University, For Sports Fans, State School",41300,67500,0.66,0.16
1364 (tie),Moody Bible Institute,"Private School, Religious",39800,67500,0.65,0
1364 (tie),Unity College,Private School,39500,67500,N/A,0.19
1364 (tie),Wilberforce University,"Private School, Religious",43400,67500,0.69,0.13
1371 (tie),Art Academy of Cincinnati,"Art, Private School",39700,67400,N/A,0
1371 (tie),Calumet College of Saint Joseph,"Private School, Religious",41300,67400,0.69,0.06
1371 (tie),Johnson & Wales University-Charlotte,Private School,40200,67400,0.46,0
1371 (tie),Limestone College,Private School,42800,67400,0.54,0.11
1371 (tie),Lourdes University,"Private School, Religious",43900,67400,0.68,0.04
1376 (tie),Metropolitan College of New York,"Business, Private School",42600,67300,0.67,0
1376 (tie),Multnomah University,Private School,40000,67300,0.86,0
1376 (tie),Robert Morris University Illinois,"Business, Private School",43500,67300,0.48,0.05
1379 (tie),Johnson State College,State School,39400,67200,0.52,0.03
1379 (tie),San Diego Christian College,"Private School, Religious",42400,67200,N/A,0.05
1381 (tie),Blackburn College,"Private School, Religious",39100,67100,0.31,0.2
1381 (tie),Cambridge College,Private School,41100,67100,0.57,0
1381 (tie),College of Central Florida,State School,39700,67100,N/A,0.05
1381 (tie),Faulkner University,"Business, Private School, Religious",39200,67100,0.63,0.02
1381 (tie),Iowa Wesleyan University,"Private School, Religious",41200,67100,0.6,0.05
1381 (tie),LaGrange College,"Liberal Arts School, Private School, Religious",42300,67100,0.66,0.09
1387 (tie),Granite State College,State School,42700,67000,0.64,0.02
1387 (tie),Lincoln Christian University,"Private School, Religious",39400,67000,N/A,0
1387 (tie),"Lincoln University - Jefferson City, MO",State School,38500,67000,0.61,0.07
1390 (tie),Hodges University,Private School,42100,66900,0.6,0.08
1390 (tie),Huntington University,"Private School, Religious",38400,66900,0.64,0.03
1390 (tie),Lyndon State College,State School,40700,66900,0.54,0.08
1390 (tie),Oklahoma Panhandle State University,State School,42800,66900,0.45,0.12
1394 (tie),Marywood University,"Private School, Religious",42100,66800,0.51,0.04
1394 (tie),Tusculum College,"Private School, Religious",41000,66800,0.61,0.03
1394 (tie),University of North Carolina at Pembroke,State School,39600,66800,0.7,0.13
1397 (tie),Brandman University,Private School,43100,66700,0.55,0.01
1397 (tie),University of Pikeville,"Liberal Arts School, Private School, Religious",37600,66700,N/A,0.13
1397 (tie),Stevens-Henager College,Private School,41100,66700,0.52,0.43
1400 (tie),Central State University,State School,39600,66600,0.56,0.13
1400 (tie),Corban University,"Private School, Religious",39800,66600,0.62,0.01
1400 (tie),Delta State University,State School,41700,66600,0.63,0.06
1400 (tie),Hannibal-LaGrange University,"Private School, Religious",38200,66600,0.57,0.05
1400 (tie),Schreiner University,"Liberal Arts School, Private School, Religious",40100,66600,0.47,0.13
1405 (tie),Eastern Oregon University,State School,42800,66500,0.61,0.04
1405 (tie),Grace University,"Private School, Religious",39300,66500,N/A,0
1405 (tie),Midway University,"Private School, Religious",39200,66500,0.5,0.03
1408,Crown College,"Private School, Religious",42300,66400,0.69,0.02
1409 (tie),Martin University,"Liberal Arts School, Private School",40400,66200,N/A,0.07
1409 (tie),University of Arkansas at Monticello,State School,41700,66200,0.61,0.03
1411 (tie),Bluefield College,"Private School, Religious",41000,66100,0.63,0.02
1411 (tie),Talladega College,"Private School, Religious",37900,66100,0.62,0.24
1413,"Bethany College - Lindsborg, KS","Private School, Religious",39700,66000,0.7,0.11
1414,Manhattan Christian College,"Private School, Religious",38500,65900,N/A,0
1415,"Union College - Barbourville, KY","Private School, Religious",38900,65800,N/A,0.04
1416,Missouri Valley College,"Private School, Religious",39600,65600,0.64,0.1
1417 (tie),Converse College,Private School,38500,65500,0.74,0.06
1417 (tie),Emory & Henry College,"Liberal Arts School, Private School, Religious",39100,65500,0.57,0.16
1419 (tie),Gardner-Webb University,"Private School, Religious, Research University, For Sports Fans",39500,65400,0.59,0.04
1419 (tie),Indian River State College,State School,40700,65400,0.61,0.03
1419 (tie),University of Maine at Farmington,State School,41000,65400,0.71,0.07
1422,Black Hills State University,State School,39800,65300,0.5,0.09
1423 (tie),Clarks Summit University,"Private School, Religious",38500,65200,0.75,0.01
1423 (tie),Rochester College,"Private School, Religious",39100,65200,0.47,0
1423 (tie),Sul Ross State University,State School,40900,65200,0.57,0.09
1426,William Carey University,"Private School, Religious",41200,65100,0.6,0.06
1427 (tie),Belhaven University,"Private School, Religious",40700,65000,0.58,0.01
1427 (tie),Paul Quinn College,"Private School, Religious",41000,65000,N/A,0.05
1429 (tie),Arizona Christian University,"Private School, Religious",40300,64800,N/A,0.05
1429 (tie),Trine University-Regional/Non-Traditional Campuses,"Business, Private School",41300,64800,N/A,0
1431 (tie),Mount Ida College,Private School,41800,64600,0.53,0.02
1431 (tie),Savannah State University,"For Sports Fans, State School",40200,64600,0.62,0.23
1433 (tie),Bethel College-Indiana,"Private School, Religious",40700,64400,0.5,0.04
1433 (tie),University of Pittsburgh-Bradford,State School,39300,64400,0.5,0.2
1435 (tie),Le Moyne-Owen College,"Private School, Religious",39800,64300,N/A,0.11
1435 (tie),University of the Ozarks,"Private School, Religious",41000,64300,N/A,0.19
1435 (tie),Virginia Union University,"Liberal Arts School, Private School, Religious",41000,64300,0.55,0.09
1438 (tie),Medaille College,Private School,38900,64200,0.59,0.03
1438 (tie),Miami Dade College,State School,44500,64200,0.57,0.02
1440,Briar Cliff University,"Private School, Religious",41400,64100,0.61,0.06
1441 (tie),Cheyney University of Pennsylvania,"Liberal Arts School, State School",39300,64000,0.66,0.08
1441 (tie),Tougaloo College,"Liberal Arts School, Private School, Religious",39700,64000,0.74,0.16
1441 (tie),University of Northwestern Ohio,Private School,39700,64000,0.44,0.02
1444 (tie),Brewton-Parker College,"Private School, Religious",36800,63900,0.66,0.15
1444 (tie),Indiana University-East,State School,39900,63900,0.61,0.08
1446 (tie),Mars Hill University,Private School,40500,63800,0.63,0.16
1446 (tie),Polk State College,State School,39600,63800,N/A,0.01
1448 (tie),"Anderson University - Anderson, SC","Private School, Religious",38400,63600,0.52,0.04
1448 (tie),Point University,"Private School, Religious",39800,63600,0.63,0.03
1448 (tie),Everest University-Tampa,Private School,39100,63600,0.53,0.02
1451 (tie),North Central University,"Private School, Religious",38300,63400,0.72,0
1451 (tie),Saint Louis Christian College,"Private School, Religious",38200,63400,N/A,0
1453,Paine College,"Liberal Arts School, Private School, Religious",36000,63300,0.68,0.12
1454 (tie),Bryan College-Dayton,"Business, Private School, Religious",40000,63200,0.61,0.02
1454 (tie),Saint Mary-of-the-Woods College,"Private School, Religious",39200,63200,0.64,0.02
1454 (tie),Thomas University,Private School,38600,63200,0.63,0.03
1457,Bay Path University,Private School,42200,63100,0.51,0.03
1458 (tie),Hilbert College,"Private School, Religious",39400,63000,0.42,0.04
1458 (tie),William Woods University,"Private School, Religious",40000,63000,0.63,0.03
1460,"Columbia College - Columbia, SC","Private School, Religious",40000,62900,0.59,0.1
1461,Chowan University,"Private School, Religious",39900,62800,0.42,0.06
1462 (tie),Pensacola State College,State School,41800,62700,N/A,0.03
1462 (tie),University of Maine at Presque Isle,State School,38900,62700,0.58,0.06
1464 (tie),Daytona State College,State School,38600,62600,0.66,0.06
1464 (tie),University of Mount Olive,"Private School, Religious",40600,62600,0.57,0.04
1464 (tie),Southeastern Bible College,Private School,38300,62600,N/A,0
1467 (tie),Alcorn State University,"For Sports Fans, State School",42000,62500,0.69,0.19
1467 (tie),Fayetteville State University,State School,38300,62500,0.65,0.07
1467 (tie),Georgia Gwinnett College,State School,39600,62500,0.47,0.22
1467 (tie),Judson College,"Liberal Arts School, Private School, Religious",39600,62500,0.62,0.07
1467 (tie),Kentucky Christian University,"Private School, Religious",39200,62500,0.63,0.06
1472,Toccoa Falls College,"Private School, Religious",37900,62300,0.67,0.03
1473 (tie),Mississippi University for Women,State School,41700,62200,0.6,0.02
1473 (tie),University of Arkansas at Pine Bluff,"For Sports Fans, State School",41600,62200,0.72,0.22
1475 (tie),Life Pacific College,"Private School, Religious",39500,62000,0.82,0
1475 (tie),University of Arkansas-Fort Smith,State School,39700,62000,0.58,0.08
1477,Southwestern Assemblies of God University,"Private School, Religious",38800,61900,0.74,0
1478,University of Science and Arts of Oklahoma,"Liberal Arts School, State School",36900,61500,0.51,0.09
1479,Southern University at New Orleans,State School,40300,61400,0.74,0.14
1480 (tie),Northwest Florida State College,State School,41900,61300,N/A,0.02
1480 (tie),Ohio Christian University,"Private School, Religious",37900,61300,0.61,0
1482,Keiser University-Ft Lauderdale,Private School,42600,61200,0.57,0.06
1483,Elizabeth City State University,State School,39200,61100,0.71,0.16
1484,Cazenovia College,Private School,38000,60900,0.52,0.02
1485 (tie),Flagler College-Tallahassee,"Business, Private School",38400,60800,0.42,0
1485 (tie),Glenville State College,State School,39100,60800,0.54,0.04
1485 (tie),Harris-Stowe State University,State School,38200,60800,0.61,0.07
1488 (tie),Concordia University-Nebraska,"Private School, Religious",39700,60500,0.56,0.06
1488 (tie),Lane College,"Private School, Religious",38100,60500,0.53,0.24
1488 (tie),Wesleyan College,"Liberal Arts School, Private School, Religious",38000,60500,0.52,0.1
1488 (tie),Wiley College,"Private School, Religious",37000,60500,0.68,0.07
1492,Coker College,Private School,36300,60300,0.55,0.04
1493 (tie),Edward Waters College,"Private School, Religious",37100,60200,N/A,0.13
1493 (tie),Fort Valley State University,State School,37200,60200,0.67,0.16
1495 (tie),Florida Memorial University,"Private School, Religious",38300,59900,0.61,0.09
1495 (tie),University of Maine at Machias,"Liberal Arts School, State School",38100,59900,0.55,0.18
1497,Calvary University,"Private School, Religious",37200,59700,N/A,0.02
1498,Wilson College,"Private School, Religious",35800,59600,N/A,0.02
1499,Maranatha Baptist University,"Private School, Religious",38400,59400,0.85,0.03
1500,West Virginia University at Parkersburg,State School,37800,59000,N/A,0.02
1501,Columbia International University,Private School,35500,58900,N/A,0
1502,The University of Montana-Western,State School,36100,58800,N/A,0.05
1503,Voorhees College,"Private School, Religious",37300,58700,N/A,0.13
1504 (tie),"Bethel University - McKenzie, TN","Private School, Religious",39200,58600,0.54,0.02
1504 (tie),University of Valley Forge,"Private School, Religious",37100,58600,0.8,0
1506,Benedict College,"Private School, Religious",37700,58500,0.63,0.21
1507 (tie),Stillman College,"Liberal Arts School, Private School, Religious",37200,58400,0.74,0.21
1507 (tie),Trinity Bible College and Graduate School,"Private School, Religious",37500,58400,N/A,0
1509,Central Christian College of Kansas,"Private School, Religious",38000,57900,N/A,0.02
1510,Campbellsville University,"Private School, Religious",36600,57700,0.58,0.04
1511,Saint Augustine's University,"Private School, Religious",38500,57500,0.67,0.12
1512,Cincinnati Christian University,"Private School, Religious",37700,57400,0.76,0
1513,Lancaster Bible College,Private School,37900,57200,0.73,0
1514,Pacific Oaks College,Private School,38600,57000,N/A,0
1515 (tie),Lindsey Wilson College,"Private School, Religious",34100,56900,0.61,0.03
1515 (tie),Rust College,"Private School, Religious",36000,56900,0.73,0.37
1517,Wheelock College,Private School,37600,56700,0.82,0.03
1518,Ozark Christian College,"Private School, Religious",35900,56400,0.88,0
1519,Martin Luther College,"Private School, Religious",36500,56200,0.4,0
1520,Texas College,"Private School, Religious",35200,55700,N/A,0.1
1521,Baptist Bible College,"Private School, Religious",34200,55400,N/A,0
1522,Livingstone College,"Private School, Religious",36200,54700,N/A,0.11
1523,Mississippi Valley State University,"For Sports Fans, State School",34700,54300,0.72,0.1
1524,Claflin University,"Liberal Arts School, Private School, Religious",37700,53900,0.8,0.18
1525,Miles College,"Private School, Religious",34700,53600,0.74,0.13
1526,Shaw University,"Private School, Religious",38200,53100,0.73,0.07
1527,Morris College,"Private School, Religious",35000,52300,0.61,0.18
1528,The Southern Baptist Theological Seminary,"Private School, Religious",34300,52100,N/A,0
1529,Nazarene Bible College,"Private School, Religious",35600,51700,N/A,0
1530,Johnson University,"Private School, Religious",33700,51100,0.72,0
1531,Philander Smith College,"Liberal Arts School, Private School, Religious",35200,50800,N/A,0.29
